评论,标签,得分
这不李素裳抢了希儿的衣服，学灵砂摆的姿势,positive (stars 4 and 5),0.871523380279541
那一天的大海，瑟音起来～,positive (stars 4 and 5),0.8147099614143372
叫我灰色的小鱼苗唉，又有新名称了,"negative (stars 1, 2 and 3)",0.5793729424476624
"海瑟音十分热爱小提琴，知道为什么吗？
因为她是“爱琴海”",positive (stars 4 and 5),0.9701768755912781
有点像李素裳，这能说吗？,positive (stars 4 and 5),0.6121787428855896
据野史记载，海瑟音其实对小麦过敏，因为“麦克阿瑟″,positive (stars 4 and 5),0.9883325695991516
大家都要抽卡不歪啊,positive (stars 4 and 5),0.9032809734344482
海瑟音脸上的是鱼鳞吗,"negative (stars 1, 2 and 3)",0.7184846997261047
浮梦若薇：崩3塞西莉娅.沙尼亚特、米丝忒琳.沙尼亚特，原神梦见月瑞希，崩2塞西莉娅.沙尼亚特,positive (stars 4 and 5),0.6328087449073792
头感觉像灵砂+崩三的李素裳，衣服又有点希儿的感觉,positive (stars 4 and 5),0.6862725019454956
中间衣服配色有点像希儿,positive (stars 4 and 5),0.6979441046714783
海瑟音，跟我组一辈子dot队吧,positive (stars 4 and 5),0.7716392278671265
抽抽抽！,"negative (stars 1, 2 and 3)",0.6733524799346924
卡芙卡/黑天鹅：哦内盖，和我们组一辈子的dot队吧！没有海瑟音的话，瓦达西红豆泥……,positive (stars 4 and 5),0.6848212480545044
是你吗,"negative (stars 1, 2 and 3)",0.5395601391792297
太好了，我们dot有救了,positive (stars 4 and 5),0.9148032665252686
能打六个万敌的人出现了（）,positive (stars 4 and 5),0.616144061088562
老规矩 泰译中,positive (stars 4 and 5),0.9694089889526367
轮到我了,positive (stars 4 and 5),0.7091123461723328
跟隔壁梦见月一个CV诶,"negative (stars 1, 2 and 3)",0.504623293876648
长得好像灵砂,positive (stars 4 and 5),0.5236200094223022
只有我觉得她脸像后崩芽衣吗,"negative (stars 1, 2 and 3)",0.7918418645858765
翻译来了（还没翻成中文）,positive (stars 4 and 5),0.6885907649993896
感觉是为了拼循环而设定好了立绘的方向,positive (stars 4 and 5),0.913090169429779
怎么有一种素裳的发型➕雷律的脸和神态➕铁道希的衣服的感觉,"negative (stars 1, 2 and 3)",0.6241883039474487
"啊！之前的PV的剪影酷酷的，以为是酷姐来着。
半透黑纱+破洞，咱也不是说难看，就是吧有种网恋奔现破灭的感觉",positive (stars 4 and 5),0.5052753686904907
这跟pv里的不太一样啊，尤其是发色和衣服，感觉差别还挺大的，还有小提琴怎么也没了，难道这个pv里的是sp海瑟音吗,"negative (stars 1, 2 and 3)",0.8691768050193787
dot队会赢吗？,positive (stars 4 and 5),0.539770245552063
毫无违和感,"negative (stars 1, 2 and 3)",0.9395037293434143
"dot环境专
卡黑黄外无法吃
还好我全抽","negative (stars 1, 2 and 3)",0.8227975964546204
黄金史诗中的立绘这个应该更偏向建模，对比如何呢,positive (stars 4 and 5),0.9894772171974182
是你吗后崩坏书的芽衣阿姨,"negative (stars 1, 2 and 3)",0.7241930961608887
感觉衣服有点像希儿，脸像雷神,"negative (stars 1, 2 and 3)",0.5301893353462219
乍看之下想到了素裳,positive (stars 4 and 5),0.9692700505256653
这确定不是穿着希儿衣服学灵砂摆pose加一些黑丝的李素裳小姐吗？,"negative (stars 1, 2 and 3)",0.8935091495513916
给大家搬个好东西,positive (stars 4 and 5),0.9777291417121887
李素裳?你怎么穿着希儿的衣服?！,positive (stars 4 and 5),0.5026352405548096
这位终于正式露面了。这样看来明天大概率就是最后一位刻律德拉了。海列屈拉 Helektra 这个名字……原型可能是 埃莱克特拉 Elektra，两边只差了一个首字母H。埃莱克特拉 是古希腊英雄、迈锡尼国王、特洛伊远征统帅 阿伽门农 的女儿。阿伽门农 曾经自夸箭术天下无双，结果在一次狩猎中误杀了狩猎女神 阿尔忒弥斯 的神鹿，因此触怒女神。特洛伊战争爆发，阿伽门农统帅希腊联军舰队出征，女神为报复阿伽门农，让海上一直刮着逆风，导致舰队无法启航。先知作出预言：只有把 阿伽门农 的长女 伊菲革涅亚 献祭给狩猎女神，才能平息女神的怒火。阿伽门农 在纠结和不舍之后最终用&#34;送女儿出嫁”的谎言欺骗了他的妻子 克吕泰涅斯特拉，将长女推上祭坛完成献祭……这位 克吕泰涅斯特拉 我之前在 遐蝶 的考据帖子里提到过，她和 海伦（古希腊世界最美的女人、特洛伊战争导火索）、波鲁刻斯 和 卡斯托尔 兄弟（双子星座、遐蝶和死龙的原型）都是同一个母亲生下的兄弟姐妹。克吕泰涅斯特拉 后来知道了长女被 阿伽门农 献祭的真相，再加上特洛伊战争一打就是十年，独守空房的她深深憎恨杀死自己女儿的丈夫，于是和阿伽门农的兄弟 埃奎斯托斯 通奸，在丈夫帅军远征特洛伊的十年里两人一同统治迈锡尼，并且在 阿伽门农 率领希腊联军凯旋班师回国后，趁着 阿伽门农 洗澡的时候，克吕泰涅斯特拉 伙同情人谋杀了自己的丈夫。之后 阿伽门农 的儿子 俄瑞斯忒斯 听说了父亲的死讯，决心复仇，最终联合 埃莱克特拉 一起杀死母亲和她的情人，重新夺回王位。以上这段算是希腊历史神话中很经典也很重要的一段情节，以此为原型的剧作、美术作品众多，比较经典的有 埃斯库罗斯 的《阿伽门农》《奠酒人》《报仇神》三部曲，以及 索福克勒斯 的《埃莱克特拉》。顺便，心理学中有一个名词叫做&#34;恋父情结”，Electra Complex，这个词也来自于为父报仇手刃母亲的 埃莱克特拉。,positive (stars 4 and 5),0.9711476862430573
说句有点不讨喜的话（真的真的没有恶意꒰ *•ɷ•* ꒱），就是没有那么让人眼前一亮的感觉，这就有点普普通通，或许可以在背景板上加把劲？,positive (stars 4 and 5),0.7759944200515747
卡黑海组一辈子dot队,positive (stars 4 and 5),0.7404744625091553
白厄对不起，我滴卡妈不需要等待了,"negative (stars 1, 2 and 3)",0.5293316841125488
终于出来了,positive (stars 4 and 5),0.8730345368385315
不太符合我对海瑟音的印象,"negative (stars 1, 2 and 3)",0.6727507710456848
#大海洋音音🎼人美声甜#海瑟音❤️沧海遗珠#海瑟音🎵🎵以一敌万#海瑟音女人中的女人#海瑟音首次回应进dot队传闻#卡芙卡黑天鹅被拍到正在做法混沌回忆#卡芙卡黑天鹅被拍到正在做法虚构叙事#卡芙卡黑天鹅被拍到正在做法末日幻影#音音我们来接你回家啦,positive (stars 4 and 5),0.7709740400314331
和我组一辈子的dot队吧,positive (stars 4 and 5),0.8190633058547974
脸上这是鳞片吗,"negative (stars 1, 2 and 3)",0.9102868437767029
dot队要站起来了吗,positive (stars 4 and 5),0.5317679643630981
dot女子不会输,positive (stars 4 and 5),0.9559975266456604
太好了是杀神我们有救了,positive (stars 4 and 5),0.8405746221542358
素……素裳？,positive (stars 4 and 5),0.9088464379310608
紫色的比例太多了，感觉不出大海的感觉……脸有点像素裳，动作参考灵砂，说是剑骑，但是没看出剑的元素，还是我理解有误？有种难以理解的违和。可能是因为pv还没出来吧，再埋伏一手。,positive (stars 4 and 5),0.7032443284988403
虽然很好看，但是我要攒6+5的佐菲,positive (stars 4 and 5),0.8852500915527344
"外貌令人神往，Dot令我止步。
","negative (stars 1, 2 and 3)",0.6158454418182373
素裳偷了希儿的衣服穿,positive (stars 4 and 5),0.7663931846618652
sp素裳是吧,positive (stars 4 and 5),0.5636060833930969
看到的开拓者十连三金,positive (stars 4 and 5),0.9487093091011047
好特别,positive (stars 4 and 5),0.9659591913223267
这么一看立绘总感觉跟之前差分牌面和pv里的形象emmmm有点像但又有点说不上来的违和感，第一眼看过去差点没敢认，可能真的因为这个角度表情真的太像素裳了吧,positive (stars 4 and 5),0.6291704773902893
为什么看起来人山人海的（,"negative (stars 1, 2 and 3)",0.5684576630592346
妈妈妈妈,positive (stars 4 and 5),0.8934460878372192
为什么有希儿+素裳的感觉（）,"negative (stars 1, 2 and 3)",0.5086302757263184
翻译:愿下一场欢宴永不落幕。,positive (stars 4 and 5),0.9876063466072083
素裳？,positive (stars 4 and 5),0.9176855683326721
是我的错觉吗？希儿的衣服，素裳的脸，灵砂的姿势，感觉跟PV的气质是两个人，那种高贵优雅的感觉突然就没了，看起来怪怪的，我个人觉得甚至评论区里那个换成希儿脸的图片还好看符合一些,positive (stars 4 and 5),0.6005863547325134
右上角有大佬翻译一下吗,"negative (stars 1, 2 and 3)",0.5493776202201843
然后你告诉我是物理,"negative (stars 1, 2 and 3)",0.9054552912712097
楽，翻评论半小时，换头图够攒九宫格了，就是没看着说这个立绘眼前一亮的,positive (stars 4 and 5),0.9205898642539978
只有我的关注点在破洞黑丝上吗,"negative (stars 1, 2 and 3)",0.787452220916748
只需等待,"negative (stars 1, 2 and 3)",0.5092104077339172
你怎么穿着希儿的衣服,"negative (stars 1, 2 and 3)",0.7958725690841675
既视感太浓了，感觉像是拼好人，建议官方赶紧狠狠的拷打美工让他们给角色做出区分,"negative (stars 1, 2 and 3)",0.8153088092803955
这也不像啊,"negative (stars 1, 2 and 3)",0.906934380531311
总感觉有点即视感,positive (stars 4 and 5),0.8342633247375488
怎么感觉…灵砂是你吗,"negative (stars 1, 2 and 3)",0.6876075863838196
雷电素裳,positive (stars 4 and 5),0.8995934128761292
想象中的应该类似这样,positive (stars 4 and 5),0.8142424821853638
虽然不玩，但一眼隔壁李素裳啊，完全没pv里的感觉啊,"negative (stars 1, 2 and 3)",0.6268450021743774
计划有变,positive (stars 4 and 5),0.8948323726654053
之前脑补了伊甸的形象，现在一看有点不适应了,positive (stars 4 and 5),0.9679141640663147
主角也是有新外号了,positive (stars 4 and 5),0.9826453924179077
破洞私挖,"negative (stars 1, 2 and 3)",0.9155700206756592
什么素裳啊 屑眼神传承黑塔女士,"negative (stars 1, 2 and 3)",0.9176563024520874
这是要穿越回过去了吗？白厄再度踏上轮回,positive (stars 4 and 5),0.6314510703086853
塞西莉娅大人加入了光荣的dot队,positive (stars 4 and 5),0.9711264967918396
虚无？难道说是来拯救我们dot队的吗,"negative (stars 1, 2 and 3)",0.7174343466758728
冷知识，海瑟音能够抬升波提欧的力量，因为波力海抬,positive (stars 4 and 5),0.9856013655662537
我的海瑟音怎么有点憨,positive (stars 4 and 5),0.5136314034461975
原本看剪影以为会是“少女”哥伦比亚那种感觉,positive (stars 4 and 5),0.7686123847961426
无论怎么看都像高冷型的李素裳,positive (stars 4 and 5),0.9280453324317932
你别说李素裳的颜值很高的,positive (stars 4 and 5),0.9360733032226562
有谁能翻译一下上面的字？,"negative (stars 1, 2 and 3)",0.5717888474464417
根据野史记载，那一天芽衣和素裳喝醉了，隔壁的隔壁的希儿也不小心闯了进来，诞生了海瑟音！,positive (stars 4 and 5),0.9910696744918823
没人发现海瑟音肚子是空的吗,"negative (stars 1, 2 and 3)",0.5338454842567444
没人觉得海瑟音很恐怖吗👽立绘只是往树上躺着😁 一看就是松弛感拉满了👯 竟然能操控海洋的力量🔱 应该也是个狠茬子💪 战斗的时候疯狂朝敌人拉小提琴🎻 可是在一阵阵优美的音乐过后却无人受伤🙀,positive (stars 4 and 5),0.8058749437332153
抛弃了杀神的气势，也拒绝小提琴，选择了人山人海,positive (stars 4 and 5),0.6456143856048584
第一眼觉得人山人海的这颜色是不是有点太希儿了，和素裳撞脸其实都是小问题，我就是觉得她作为一个二次元角色，​她发量是不是有点太少了……是视角问题吗，我记得她不是披肩长发吗。,positive (stars 4 and 5),0.8920366168022156
这个“灰色的小鱼苗”会不会是开拓者,"negative (stars 1, 2 and 3)",0.5074481964111328
为什么我看到的是这样,"negative (stars 1, 2 and 3)",0.9231536984443665
啊？,positive (stars 4 and 5),0.7275973558425903
哇，御姐，还是那种温柔大姐姐款的,positive (stars 4 and 5),0.9400256872177124
来了来了，dot队的救世主,positive (stars 4 and 5),0.943618893623352
放个爱丽,positive (stars 4 and 5),0.7649018168449402
闲着在米游社没事做？不如跟我一起做复读机，复制这段话再发出去，每天收入0元，我和身边的朋友都在做，反正闲着也是闲着，吃饱了也是撑着，不如挨顿骂,positive (stars 4 and 5),0.6496787667274475
大家来找不同吧,"negative (stars 1, 2 and 3)",0.7018349766731262
加强海瑟音,positive (stars 4 and 5),0.9844893217086792
别说什么拼好人了，这是高贵的融合,positive (stars 4 and 5),0.6270402669906616
评论区个个都是轮回神王，看谁都像前人的影子,positive (stars 4 and 5),0.7636421918869019
龙，关联的是海蜗，珊瑚龙骨，杏叶，所以斯缇科西亚黎明时有海底的图，但应该也会有一半陆地，其次，武器是龙骨？存疑，但是却又有杏叶，所以是介于陆地于海洋之间？或者暗示什么？存疑,positive (stars 4 and 5),0.8586196899414062
美工没用可以裁了,"negative (stars 1, 2 and 3)",0.7065715193748474
愿下一场欢宴永不落幕。May the next feast be eternal.,positive (stars 4 and 5),0.9779735207557678
没之前拉小提琴那个好看，跟换头了一样，跌破期待值,positive (stars 4 and 5),0.936384916305542
不是我说,"negative (stars 1, 2 and 3)",0.5802026391029358
素裳你为什么偷穿希儿衣服,"negative (stars 1, 2 and 3)",0.6615830063819885
那一天李素裳和希儿都喝醉了，生了一个海的女儿,positive (stars 4 and 5),0.7130930423736572
这照片是你嘛,"negative (stars 1, 2 and 3)",0.927526593208313
脸像素裳，身材像阮梅，拖尾像希儿,"negative (stars 1, 2 and 3)",0.5134828686714172
迟到了迟到了,positive (stars 4 and 5),0.5686835050582886
灵砂+希儿嘛,positive (stars 4 and 5),0.8794103264808655
希儿的衣服芽衣的脸素裳的发型（）,positive (stars 4 and 5),0.9072141051292419
海瑟音大人，请出手叭,positive (stars 4 and 5),0.8849772214889526
必抽，让dot队再次伟大,positive (stars 4 and 5),0.7173299789428711
1,positive (stars 4 and 5),0.9453793168067932
dot王朝！,positive (stars 4 and 5),0.9787976145744324
一个诉求，希望能解决一下dot队循环这个问题，这个队伍真的真的太卡手了,positive (stars 4 and 5),0.7110598683357239
猜你想看,"negative (stars 1, 2 and 3)",0.7084708213806152
